stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,periderm
3dpf,5.2,0.62,0,0,0.52,2.61,0.7,0
5dpf,0,0,0.71,1.52,2.08,5.62,0,0.44
