stage,central_nervous_system,endoderm,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm
24hpf,0,0,0,0,0.91,0,0
2dpf,2.15,0,0,7.98,96.69,0,1.3
3dpf,0.7,0,0,0,42.02,0,0.49
5dpf,0,0.97,0.96,0.73,45.92,0,0
10dpf,0,0,1.42,0,11.49,0.48,1.13
