stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
10hpf,0,0,0,0,0,0,0,0,752.86
12hpf,13.39,3.24,0,0,0,0,0,0,54.58
14hpf,0,0,0,0,0,0,0,0,1574.58
16hpf,0,0,0,0,0,0,0,0,50.39
19hpf,0,0,0,0,0,0,0,0,1804.12
24hpf,1.03,0,0,0,0,0,0,0,255.8
2dpf,21.03,0,0,1.19,3.63,3.68,0,1.12,1002.75
3dpf,36.04,15.43,0.62,0.83,1.65,11.64,0,0.99,833.78
5dpf,7.9,0,2.97,3.8,0.88,20.44,1.72,4.22,2013.91
10dpf,20.6,7.42,1.42,2.39,0.98,17.06,0.89,0.53,998.93
