stage,central_nervous_system,endoderm,intermediate_mesoderm,mesenchyme,notochord,paraxial_mesoderm,periderm
14hpf,0,0,0,0,0,0,3.7
24hpf,0,0,0,0,0,0.9,0
2dpf,0,0,0.92,3.03,0,0.62,1.59
3dpf,0,0,0.4,2.54,0,1.17,1
5dpf,0.62,0.42,1.95,5.99,0.29,0.89,4.14
10dpf,0.71,1.67,0,1.19,0,0,3.36
