stage,central_nervous_system,intermediate_mesoderm,mesenchyme,neural_crest,periderm
3dpf,2.53,0.5,0.81,0,0
5dpf,0,0,0.39,0,0
10dpf,0.56,0,1.06,0.73,1.52
