stage,central_nervous_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,paraxial_mesoderm
24hpf,0,7.11,0,0,0
2dpf,0.59,75.91,0.56,4,4.46
3dpf,3.29,16.77,0,0.41,0.35
5dpf,1.21,56.31,4.25,0.9,5.64
10dpf,3.73,30.86,0.87,1.32,0.69
