stage,central_nervous_system,endoderm,hematopoietic_system,lateral_mesoderm,mesenchyme,neural_crest,periderm
14hpf,0,0,0,2.46,0,0,0
2dpf,5.24,0,0.77,0,6.53,0,3.35
3dpf,21.59,0.44,0,0.88,4.75,0.76,1.21
5dpf,1.61,0,0,0.44,6.39,0,0.41
10dpf,14.2,0,0,0,2.03,0,0.95
