stage,central_nervous_system,endoderm,hematopoietic_system,lateral_mesoderm,mesenchyme,notochord,paraxial_mesoderm
2dpf,0,0,0,0.51,0.54,0,0
3dpf,3.47,0,0.3,0,1.95,0,0
5dpf,0.88,0,0,0,10.4,1.17,0
10dpf,3.1,0.45,0,0,0.51,0,0.51
