stage,endoderm,hematopoietic_system,mesenchyme,paraxial_mesoderm,periderm
19hpf,0,5.38,0,0,6.56
24hpf,0,15.8,0,0.94,0
2dpf,0,11.9,0,0,2.19
3dpf,0,6.46,0,0,1.01
5dpf,2.14,69.59,2.01,0,10.76
10dpf,0,21.31,1.09,0.53,0
