stage,central_nervous_system,lateral_mesoderm,mesenchyme,notochord,periderm
2dpf,0.48,1.15,0,0,1.26
3dpf,1.9,0,1.73,0,0
5dpf,0.66,0,0,0.68,1.04
10dpf,0,0,0.55,0,0
