stage,central_nervous_system,hematopoietic_system,intermediate_mesoderm,mesenchyme,notochord,paraxial_mesoderm
24hpf,0,0,0,0,0,0.84
2dpf,0,0,8.01,1.94,2.05,0
3dpf,1.75,0.29,0.83,6.1,0,0
5dpf,0.91,22.95,0.58,1.61,0,0
10dpf,4.35,33.61,1.29,5.64,0,0
