stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
10hpf,0,0,0,0,0,0,0,0,9.11
12hpf,6.96,0,0,0,0,0,0,0,122.64
14hpf,9.38,0,0,0,0,0,0,0,2.27
16hpf,0,0,6.47,2.77,0,0,0,0,14.23
19hpf,6.78,0,28.76,0,0,0,0,0,2.56
24hpf,488.13,1.44,1.05,2.22,0,15.58,0,0,42.58
2dpf,32.84,0,0,0,0,5.81,4.63,1.23,1.25
3dpf,189.67,0,0.29,0,0.68,50.64,0,0,0.41
5dpf,1.64,1.1,1.68,0.38,0.8,35.25,0.63,2.91,4.79
10dpf,64.31,1.23,0,0,1.3,68.91,0,0.83,0
