stage,central_nervous_system,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
2dpf,3.7,1.46,1.59,0.6,0,0,0
3dpf,2.42,0,0.29,0,0,0,1.25
5dpf,0,0,2.21,0,0.36,1.52,2.94
10dpf,0.54,0,0,0,0,0,0
