stage,intermediate_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
2dpf,0,2.2,0,0.5,6.99
3dpf,0,0.74,0.5,0,1.28
5dpf,0.53,0.97,0.37,0,12.69
10dpf,0,1.29,0,0,1.55
