stage,central_nervous_system,hematopoietic_system,intermediate_mesoderm,mesenchyme,paraxial_mesoderm,periderm
2dpf,2.76,0,0.85,0,0,0.5
3dpf,4.09,0,0,2.43,0.54,0
5dpf,1.1,0.95,0,1.17,0.7,0.39
10dpf,1.21,0.44,0,2.24,0,0
