stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,1438.99,53.18,11.24,0,255.41,10.42,0,44.93,432.05,477.65
12hpf,2429.29,44.39,15.9,51.41,516.54,115.93,6.35,110.03,886.74,674.71
14hpf,1192.99,22.79,35.17,69.11,230.52,106.1,15.19,19.76,460.82,314.22
16hpf,1796.25,47.43,132.85,119.62,498.27,209.93,57.79,66.17,695.11,571.06
19hpf,2086.24,14,38.09,57.09,199.19,116.59,59.43,16.68,161.62,239.7
24hpf,1208.02,8.65,73.45,49.99,221.82,110.01,48.18,3.94,160.87,158.54
2dpf,950.23,27.84,90.07,106.29,382.95,607.93,122.13,5.55,206.36,167.15
3dpf,974.42,27.59,15.84,32.21,14,237.11,18.31,0,20.83,44.2
5dpf,170.96,18.58,72.75,60.98,35.17,294.95,29.06,6.97,74.02,172.26
10dpf,243.83,28.07,35.03,30.13,9.59,136.09,9.15,0.91,40.69,35.85
