stage,central_nervous_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,periderm
2dpf,0.49,0,0.55,0,0,0.56
3dpf,0.85,0,2.08,1.15,0,0
5dpf,0.29,0.5,0.52,0,1.12,1.3
10dpf,4.88,0,0,0.82,0,1.12
