stage,hematopoietic_system,lateral_mesoderm,mesenchyme,paraxial_mesoderm,periderm
2dpf,0.55,0,0,0,0
3dpf,0,0.32,0.98,0.29,0
5dpf,0,0.51,0.46,0,0.77
10dpf,0,0,1.19,0.37,0
