stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,mesenchyme,neural_crest,periderm
2dpf,3.61,0,0,0,2.04,2.32,1.96
3dpf,6.1,0,0.74,0.33,0,0.56,1.74
5dpf,1.47,0.77,0,0.41,2.2,7.52,3.9
10dpf,11.62,0.44,0,0,0,0,1.66
