stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm
2dpf,0,0.84,0,0.67,0.5,0.67,0,0
3dpf,2.06,0,0.81,0,0.31,1.45,0.31,0
5dpf,0,0,0,0.75,0,4.16,0,0.54
10dpf,5.92,0.39,1.79,0,0,2.37,0,0
