stage,central_nervous_system,endoderm,intermediate_mesoderm,lateral_mesoderm,mesenchyme,paraxial_mesoderm
2dpf,0.6,0,1.65,2.8,3.56,3.76
3dpf,1.76,0.81,0.69,0.35,3.27,0
5dpf,0,0,0,0.6,3.3,1.25
10dpf,2.93,0,0,0,0.53,0
