stage,central_nervous_system,hematopoietic_system,lateral_mesoderm,mesenchyme,neural_crest,notochord,periderm
2dpf,1.04,0.66,1.82,0.88,0,0,0
3dpf,3.82,0,0,0.48,0,0,0
5dpf,0,0,0,0.87,0.48,0.8,0
10dpf,1.39,0,0,0,0,0,1.34
