stage,central_nervous_system,intermediate_mesoderm,mesenchyme,periderm
2dpf,0,1.13,0,1.16
3dpf,5.21,0,0.73,0
5dpf,0,0,0,1.24
10dpf,1.87,0.47,1.4,0
