stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,mesenchyme
3dpf,0.47,0,0,0,0
5dpf,0,0,0,0.36,0.56
10dpf,0,1.22,1.18,0.87,0
