stage,central_nervous_system,hematopoietic_system,lateral_mesoderm,mesenchyme,neural_crest,periderm
24hpf,0,0,0,0,0.91,0
2dpf,3.16,0,0,0.48,11.37,0.97
3dpf,28.57,0,0.51,5.25,2.11,0.41
5dpf,4,0,0.92,11.84,7.19,6.24
10dpf,35.1,0.38,1.36,31.31,22.42,3.94
