stage,central_nervous_system,lateral_mesoderm,mesenchyme,notochord,paraxial_mesoderm
2dpf,0.6,0,0.96,1.6,0.79
3dpf,0.34,0.53,0.54,0,0
5dpf,1.06,0,1.18,0,0
