stage,central_nervous_system,endoderm,hematopoietic_system,paraxial_mesoderm
2dpf,0,0,0.55,0
3dpf,0,0.47,0,1.16
5dpf,0.63,0.34,1.89,0
10dpf,0,2.33,1.81,0
