stage,endoderm,hematopoietic_system,intermediate_mesoderm,mesenchyme,periderm
3dpf,0,0,0,0,0.3
5dpf,0,0.33,0,1.21,6.41
10dpf,0.71,1.56,0.61,0,4.06
