stage,central_nervous_system,intermediate_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm
2dpf,0,0,0,0,0.61
3dpf,0,0.68,0.81,0,0
5dpf,0.48,0,0,0.66,0
