stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
10hpf,17.53,0,0,0,0,0,0,0,0
12hpf,1.82,0,2.21,0,4.24,0,0,0,0
14hpf,0,0,0,2.38,0,0,0,0,0
16hpf,0,0,0,0,20.22,0,0,0,0
19hpf,2.01,0,0,0,31.97,0,0,0,0
24hpf,0,0,0,0,85.05,0,0,0,0
2dpf,103.53,0,0.87,1.86,384.56,48.44,44.88,15.69,5.5
3dpf,26.1,3.22,0.34,0,375.52,261.35,0,18.75,3.72
5dpf,22.52,17.65,4.33,3.77,196.78,102.64,20.83,11.4,8.5
10dpf,41.66,28.94,0.9,2.67,155.21,81.68,17.51,13.34,0
