stage,central_nervous_system,lateral_mesoderm,mesenchyme,neural_crest,periderm
2dpf,0,0,1.05,0,0
3dpf,0.73,0.43,1.11,0,0
5dpf,0.31,0,0.74,1.53,0.76
10dpf,1.88,0,1.69,0,0
