stage,central_nervous_system,endoderm,hematopoietic_system,mesenchyme,neural_crest,periderm
24hpf,0,0,1.76,0,0,0
2dpf,0,0,0.65,0.68,0,8.27
3dpf,0,1.25,0.5,0,0,2.66
5dpf,0.93,0,14.85,0.72,0.9,16.97
10dpf,0,0,18.55,0,0,0.92
