stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
10hpf,0,0,0,0,0,0,0,0,74.07
12hpf,0,0,0,0,0,0,0,0,92.99
14hpf,0,0,0,0,0,0,0,0,37.87
16hpf,0,1.93,0,0,0,0,0,0,27.46
19hpf,1.54,0,0,0,0,0,0,0,0
24hpf,5.11,0.92,22.67,0,0,0.93,0,0.81,46.06
2dpf,33.93,6.32,25.24,0.53,3.74,7.08,3.29,2.92,46.96
3dpf,84.04,8.76,0,1.13,0.3,7.55,0,0,29.47
5dpf,23.27,24.72,59.28,8.59,1.63,40.94,4.48,3.82,112.61
10dpf,48.35,19.29,35.73,1.63,1.43,16.44,0,1.63,31.89
