stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,3126.81,81.28,26.86,0,938.73,69.63,0,73.76,3907.44,1486.98
12hpf,3208.87,172.36,33.25,152.73,1251.88,126.68,7.35,201.16,4735.31,1756.36
14hpf,1226.52,36.5,105.02,184.57,412.25,96.21,23.89,39.3,2309.17,920.18
16hpf,744.79,33.39,24.54,104.17,318.35,77.84,8.89,16.13,1904.16,377.86
19hpf,1642.22,7.3,11.44,72.31,156.99,53.31,9.12,4.87,808.51,452.18
24hpf,1454.28,9.76,100.43,91.16,278.28,111.27,13.96,5.35,508.03,223.06
2dpf,1516.24,29.76,109.99,258.35,627.48,994.53,94.08,14.03,266.02,487.05
3dpf,703.88,19.74,19.56,47.11,44.33,573.66,22.23,0,21.78,149.54
5dpf,259.39,30.55,132.27,219.87,83.35,838.94,56.76,14.83,115.65,569.09
10dpf,369.86,43.66,126.63,115.61,42.7,521.03,31.01,0.59,44.48,381.8
