stage,endoderm,hematopoietic_system,intermediate_mesoderm,mesenchyme,periderm
2dpf,0,0,0,0,1.84
3dpf,0.93,0.47,0,1.11,0
5dpf,0,0,0.31,1.52,0.38
10dpf,0,0,0.6,2.18,0
