stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
10hpf,17.58,0,0,0,0,0,0,0,0
12hpf,55.81,0,0,0,0,0,0,0,0
14hpf,17.57,0,0,4.96,0,0,0,0,0
16hpf,61.47,0,0,8.77,0,0,0,0,3.59
19hpf,34.17,0,0,6.55,0,0,0,0,0
24hpf,19.5,0,0,1.46,0,0,0,0.88,0
2dpf,118.73,0.66,1.5,10.63,11.77,16.6,1.69,2.33,6.93
3dpf,58.21,1.32,0.95,1.92,0,9.35,0.31,0.77,2.51
5dpf,52.1,0,4.67,3.86,0.99,10.89,1.72,2.08,10.56
10dpf,30.29,0,0,2.78,1.45,3.41,0,1.25,0.77
