stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
2dpf,0.78,0,0,0.89,1.25,0.66,0,2.35,2.64
3dpf,6.85,0,0.3,0,5.41,0,0,0,0
5dpf,0,0,0.36,0,0.29,0.82,0.3,0,3.33
10dpf,4.82,1.49,1.32,0,0,0,0,0,0
