stage,central_nervous_system,lateral_mesoderm,mesenchyme,notochord,paraxial_mesoderm,periderm
2dpf,0,0,0,0,0.55,0
3dpf,0,0,0.41,0,0,0
5dpf,0,0.93,0.58,0.34,0,0.4
10dpf,1.4,0,0,0,0,0
