stage,central_nervous_system,hematopoietic_system,intermediate_mesoderm,mesenchyme,neural_crest,notochord,periderm
2dpf,0.97,3.35,0,0.52,0.72,0.5,1.45
3dpf,3.31,0.73,0,0,0,0,0
5dpf,0,6.76,0,0,4.44,0,0.44
10dpf,6.56,11.45,0.92,0,0,0,0
