stage,central_nervous_system,endoderm,intermediate_mesoderm,mesenchyme,neural_crest,periderm
2dpf,0,0.84,0,0,1.41,0
3dpf,1.6,0,0,0.31,0,0.3
5dpf,0.8,0,0,0,0,0.99
10dpf,0,0,0.51,0,0,0
