stage,central_nervous_system,mesenchyme,neural_crest,periderm
2dpf,0,0.96,0,0
3dpf,1.6,1.99,0.5,0
5dpf,0.35,4.01,1.12,1.37
10dpf,5.09,0.43,0,0
