stage,central_nervous_system,endoderm,lateral_mesoderm,mesenchyme
2dpf,6.41,0,0.74,0.81
3dpf,1.23,0,0,0
5dpf,0.29,0,0,0
10dpf,3.27,0.62,0,0.99
