stage,central_nervous_system,hematopoietic_system,mesenchyme,notochord,paraxial_mesoderm,periderm
2dpf,1.84,0,3.46,1.01,0.82,7.84
3dpf,8.67,0,1.82,0,0,0
5dpf,0.76,0,2.87,0.35,1.27,0.5
10dpf,5.18,0.86,0.81,0,0,0.55
