stage,central_nervous_system,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,periderm
2dpf,1.86,1.41,0,0.76,0,0,0.82,0
3dpf,1.29,0.31,0,0,0.41,0.31,0,0
5dpf,0.97,0,0.89,0,4.85,0,0,0.61
10dpf,5,0,0,0,0.93,0,0,0
