stage,central_nervous_system,hematopoietic_system,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
2dpf,0,3.01,1.18,0,0,0.84,0.69
3dpf,1.33,0,1.09,0,0,0,0
5dpf,0,1.24,0,0.66,0.48,0,0
10dpf,2.13,1.16,0.48,0.8,0,0,0
