stage,central_nervous_system,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest
3dpf,0.41,0,0,0,0,0.43
5dpf,0,5.77,2.57,0.39,3.04,0
10dpf,0,12.73,0,0,0,0
