stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,231.42,0,8.74,0,48.78,0,0,0,10.06,26.86
12hpf,158.92,6.73,11.02,6.97,42.03,9.95,0,0,59.27,43.02
14hpf,103.51,0,8.57,5.18,16.92,18.31,2.3,0,30.89,17.41
16hpf,130.96,4.15,3.63,6.83,35.05,20.47,10.8,0,31.46,45.4
19hpf,138.76,0,0,0,9.19,3.55,0,0,0,24.6
24hpf,206.29,4.08,2.94,10,46.16,23.96,13.34,0,28.38,19.1
2dpf,614.7,6.91,38.36,67.86,223.61,429.71,40.12,4.75,112.33,159.09
3dpf,1270.04,13.25,13.2,18.39,28.61,344.24,7.77,0,20.32,38.4
5dpf,165.14,20.47,45.46,73.25,30.07,501.55,31.96,16.11,64.2,229.76
10dpf,662.71,28.39,66.9,55.36,32.67,368.69,19.95,0,47.21,74.37
