stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
10hpf,8.33,0,0,0,0,0,0,0,9.11
12hpf,0,0,2,0,0,0,0,0,0
14hpf,2.23,0,0,2.46,0,0,0,0,2.48
16hpf,1.64,0,0,0,0,0,0,2.12,1.76
19hpf,1.81,0,0,0,0,0,0,0,0
24hpf,1.17,0,0,0,0,0.95,0.82,0,1.69
2dpf,51.56,1.19,2.96,6.65,19.76,41.27,1.66,16.66,26.85
3dpf,194.55,3.06,1.3,3.13,1.87,35.91,2.76,2.51,6.02
5dpf,19.09,1.18,9.02,12.73,2.58,48.41,8.31,10.56,26.11
10dpf,98.52,3.79,5.05,0.9,0.81,19.41,1.04,0.45,4.51
