stage,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,periderm
2dpf,1.85,0,0.47,2.86,1.02
5dpf,0,0.77,7.01,0,1.55
10dpf,0,0,0.53,0,0
