stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
10hpf,0,0,0,0,0,0,0,0,161.03
12hpf,0,0,0,0,0,0,0,0,8.8
14hpf,0,0,0,0,0,0,0,0,907.22
16hpf,0,0,0,0,0,0,0,0,33.2
19hpf,0,0,0,0,0,0,0,0,630.13
24hpf,0,0,0,0,0,0,0,0,27.14
2dpf,19.11,1.37,0,1.77,3.81,4.3,0.48,1.18,317.45
3dpf,19.6,12.22,0,1.01,0.43,2.53,0.37,0,83.02
5dpf,19.96,9.67,1.47,4.6,1.77,6.47,0.94,1.91,258.24
10dpf,31.34,12.14,0.63,2.12,0,1.59,0.57,2.15,88.48
