stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
10hpf,64.66,0,0,0,0,0,0,0,0
12hpf,270.55,0,0,0,0,0,0,1.95,0
14hpf,138.08,0,0,0,0,0,0,0,2.33
16hpf,214,0,0,0,0,2.27,0,5.2,5.57
19hpf,287.42,0,0,0,0,0,0,0,0
24hpf,609.83,0,3.75,1.76,6.85,4.38,0,25.59,7.78
2dpf,598.75,0,5.69,5.06,12.15,32.1,4.71,7.51,30.69
3dpf,50.37,0,0,0,0,0.62,0,0.29,10.76
5dpf,8.84,0.84,0,0,0,2.92,0,1.64,20.95
10dpf,9.15,0,0,0.67,0,0,0,0,15.76
