stage,central_nervous_system,endoderm,hematopoietic_system,mesenchyme,neural_crest,paraxial_mesoderm,periderm
24hpf,0,0,0,0,0,0,0.83
2dpf,0,0,0,0,0,0,0.73
3dpf,0.79,0.37,0,0.32,0,0,10.81
5dpf,2.51,5.7,0.69,6.59,0.66,1.91,29.65
10dpf,7,3.59,7.4,0,0.95,0,20.11
