stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,mesenchyme
3dpf,0.4,1.31,0,0,0.35
5dpf,0,0.61,0,0.89,1.04
10dpf,1.41,2.94,0.42,1.48,0.63
