stage,central_nervous_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm
2dpf,1.79,0.57,7.46,6.15,2.08,0,0
3dpf,0,0,0.92,36.2,0,0.53,0
5dpf,0.71,0,0,30.91,2.4,14.09,0.71
10dpf,0,1.6,3.09,25.41,0.49,0,0.96
