stage,central_nervous_system,hematopoietic_system,paraxial_mesoderm,periderm
2dpf,0,2.93,0,0
3dpf,20.08,1.04,0,0.47
5dpf,0.65,14.27,0.98,3.81
10dpf,4.6,11.64,0,1.21
