stage,central_nervous_system,endoderm,hematopoietic_system,mesenchyme,paraxial_mesoderm
24hpf,0,0,0.96,0,0
3dpf,0,0,0.35,0,0
5dpf,0.35,0,11.06,0.79,0.6
10dpf,5.24,2.13,15.56,0.99,0
