stage,central_nervous_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,periderm
2dpf,2.02,3.23,0,0,0,0,1.3
3dpf,0,0,0,0.86,0,0,0
5dpf,0,1.96,0.34,0.52,1.01,0.42,3.08
10dpf,3.35,0,0,0,0.57,0,0
