stage,central_nervous_system,hematopoietic_system,mesenchyme,paraxial_mesoderm
2dpf,0,0,0,0.62
3dpf,3.96,0,0,0
5dpf,0.38,0.39,0.29,0
10dpf,13.06,0,0,0
