stage,central_nervous_system,hematopoietic_system,intermediate_mesoderm,mesenchyme,neural_crest,notochord
2dpf,0,0.57,1.36,0,1.04,2.85
3dpf,0.33,0,0,0,0,0
5dpf,0,0.4,0,0.48,0,0.44
10dpf,0,0.95,0,0,0,0
