stage,central_nervous_system,hematopoietic_system,intermediate_mesoderm,mesenchyme,neural_crest,periderm
2dpf,1.6,0,0,0,0,0
3dpf,0.87,0,0,0,0,0.44
5dpf,0,3.77,0.84,1.48,0.63,3.18
10dpf,0,1.21,0,0.78,0,1.77
