stage,central_nervous_system,hematopoietic_system,intermediate_mesoderm,mesenchyme
2dpf,0,0.85,0,0.62
3dpf,2.06,0,1.09,0
5dpf,0.95,0.78,0.68,0
10dpf,1.43,4.04,0,0.55
