stage,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,paraxial_mesoderm,periderm
24hpf,0.98,0,0,0,0,0
2dpf,5.09,1.4,3.73,11.89,2.41,0.73
3dpf,0.97,1.03,0.98,11.5,0.44,0.4
5dpf,19.39,0.41,0,6.87,0,0
10dpf,46.08,0,0,2,0,1.32
