stage,central_nervous_system,endoderm,intermediate_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm
2dpf,4.8,0,0,0,0,0
3dpf,15.31,0.37,0,0.95,0.56,0
5dpf,0.29,0,0.68,2.35,0,0.67
10dpf,4.52,0,0,1.32,0,0
