stage,central_nervous_system,endoderm,hematopoietic_system,mesenchyme,paraxial_mesoderm,periderm
2dpf,0,0,0.88,2.71,0.58,2.83
3dpf,1.6,0.42,0,0,0,0.3
5dpf,0,0.44,0,0,0,12.32
10dpf,0,0,0,0,0,1.86
